SEQN,age,gender,screen_hours,sleep_hours,PAQ710,PAQ715,PAD680,weight,SDMVPSU,SDMVSTRA
87128.0,46.0,Female,1.0795210693868056e-78,7.5,5.397605346934028e-79,5.397605346934028e-79,,5.397605346934028e-79,1.0,133.0
87129.0,28.0,Female,4.0,8.5,2.0,2.0,,23395.654253,2.0,121.0
87130.0,42.0,Female,4.0,7.5,2.0,2.0,,31637.937699,2.0,126.0
87131.0,27.0,Female,2.0,10.0,2.0,5.397605346934028e-79,,28360.17792,2.0,127.0
87132.0,39.0,Male,4.0,6.0,3.0,1.0,,28805.615832,2.0,125.0
87135.0,57.0,Male,10.0,7.5,2.0,8.0,,32351.170539,2.0,126.0
87137.0,26.0,Male,9.0,10.0,8.0,1.0,,70052.193707,1.0,130.0
87138.0,45.0,Male,2.0,6.5,2.0,5.397605346934028e-79,,168871.369881,2.0,130.0
87140.0,36.0,Male,8.0,5.0,5.397605346934028e-79,8.0,,22481.39608,1.0,129.0
87141.0,37.0,Male,1.0,6.5,1.0,5.397605346934028e-79,,112577.630611,2.0,120.0
87142.0,31.0,Female,16.0,8.5,8.0,8.0,,17957.809259,2.0,126.0
87143.0,38.0,Female,5.0,5.0,5.397605346934028e-79,5.0,,5.397605346934028e-79,2.0,133.0
87145.0,78.0,Male,4.0,7.0,4.0,5.397605346934028e-79,,80237.41158,2.0,129.0
87147.0,20.0,Female,13.0,7.5,5.0,8.0,,35941.775509,1.0,129.0
87148.0,55.0,Female,3.0,8.0,2.0,1.0,,134366.201344,1.0,130.0
87149.0,19.0,Male,5.0,6.5,5.0,5.397605346934028e-79,,21486.360539,1.0,122.0
87150.0,60.0,Female,6.0,8.5,4.0,2.0,,33111.305326,2.0,130.0
87154.0,30.0,Female,11.0,9.0,3.0,8.0,,24347.669291,1.0,120.0
87155.0,71.0,Female,4.0,8.5,4.0,5.397605346934028e-79,,14740.305363,2.0,127.0
87156.0,57.0,Female,12.0,,4.0,8.0,,22658.417784,1.0,126.0
87158.0,65.0,Female,4.0,8.0,4.0,5.397605346934028e-79,,18672.628976,2.0,119.0
87159.0,22.0,Female,2.0,9.0,2.0,5.397605346934028e-79,60.0,23096.462098,1.0,129.0
87161.0,80.0,Female,7.0,8.0,5.0,2.0,,66290.989918,2.0,123.0
87162.0,35.0,Female,2.0,7.5,1.0,1.0,,23411.220472,1.0,121.0
87163.0,44.0,Female,3.0,7.5,2.0,1.0,,117608.971956,1.0,130.0
87164.0,18.0,Male,2.0,8.0,5.397605346934028e-79,2.0,,12398.575051,1.0,132.0
87165.0,35.0,Female,11.0,7.0,3.0,8.0,,30380.437727,2.0,130.0
87166.0,18.0,Female,3.0,11.0,3.0,5.397605346934028e-79,,64202.395615,2.0,126.0
87167.0,80.0,Female,3.0,8.0,3.0,5.397605346934028e-79,,13548.97951,2.0,127.0
87168.0,49.0,Male,8.0,5.5,5.397605346934028e-79,8.0,15.0,52223.111015,2.0,124.0
87169.0,39.0,Female,1.0,7.0,5.397605346934028e-79,1.0,,102953.159941,2.0,131.0
87170.0,50.0,Male,1.0795210693868056e-78,7.5,5.397605346934028e-79,5.397605346934028e-79,,23331.538539,2.0,130.0
87171.0,40.0,Female,9.0,8.5,8.0,1.0,,25150.969847,1.0,121.0
87172.0,42.0,Male,16.0,8.5,8.0,8.0,,33582.383763,2.0,121.0
87174.0,27.0,Female,8.0,8.5,8.0,5.397605346934028e-79,,78764.778584,2.0,121.0
87175.0,69.0,Male,3.0,9.0,2.0,1.0,,213611.344984,2.0,127.0
87176.0,27.0,Male,10.0,5.5,5.0,5.0,,32816.204836,2.0,123.0
87177.0,57.0,Male,1.0,7.5,1.0,5.397605346934028e-79,,26660.470858,1.0,130.0
87178.0,54.0,Male,3.0,7.5,3.0,5.397605346934028e-79,,49447.387484,2.0,127.0
87179.0,34.0,Female,3.0,10.0,2.0,1.0,,33670.168792,1.0,126.0
87180.0,33.0,Female,8.0,8.5,5.397605346934028e-79,8.0,,26062.995726,2.0,129.0
87181.0,43.0,Female,4.0,7.0,2.0,2.0,,25466.894912,2.0,133.0
87185.0,24.0,Female,2.0,9.0,1.0,1.0,,21723.700087,1.0,121.0
87186.0,61.0,Male,13.0,8.0,5.0,8.0,,10239.964119,1.0,128.0
87187.0,45.0,Male,1.0,6.0,5.397605346934028e-79,1.0,,20621.021966,2.0,128.0
87189.0,52.0,Female,9.0,8.0,1.0,8.0,,5.397605346934028e-79,1.0,121.0
87190.0,38.0,Male,4.0,5.5,2.0,2.0,,28249.565024,2.0,131.0
87191.0,17.0,Female,4.0,8.5,3.0,1.0,,17228.793313,1.0,128.0
87192.0,18.0,Female,6.0,8.0,3.0,3.0,,15490.242709,2.0,131.0
87193.0,80.0,Female,3.0,6.5,2.0,1.0,,17676.881423,2.0,121.0
87194.0,31.0,Female,1.0,7.5,1.0,5.397605346934028e-79,,26545.101854,1.0,124.0
87197.0,33.0,Male,1.0795210693868056e-78,8.0,5.397605346934028e-79,5.397605346934028e-79,,28600.92927,2.0,132.0
87198.0,69.0,Male,16.0,8.5,8.0,8.0,,12176.642499,2.0,132.0
87199.0,55.0,Male,13.0,8.0,5.0,8.0,,23008.650223,2.0,132.0
87200.0,28.0,Female,1.0,8.0,5.397605346934028e-79,1.0,,69107.354914,2.0,121.0
87201.0,32.0,Male,10.0,6.0,8.0,2.0,,18827.663076,1.0,133.0
87202.0,39.0,Male,11.0,5.5,3.0,8.0,,24106.164947,2.0,130.0
87204.0,70.0,Female,10.0,9.0,2.0,8.0,60.0,9845.044389,1.0,120.0
87205.0,18.0,Male,2.0,9.0,1.0,1.0,,5.397605346934028e-79,1.0,125.0
87207.0,30.0,Female,8.0,7.0,5.397605346934028e-79,8.0,,27660.949228,1.0,126.0
87208.0,35.0,Male,1.0795210693868056e-78,5.5,5.397605346934028e-79,5.397605346934028e-79,,27158.100723,1.0,127.0
87209.0,62.0,Female,13.0,9.5,5.0,8.0,,23283.542404,1.0,126.0
87210.0,80.0,Male,13.0,10.0,5.0,8.0,,23245.742101,1.0,133.0
87211.0,41.0,Male,4.0,7.0,1.0,3.0,,126793.061616,1.0,133.0
87214.0,38.0,Male,5.0,8.5,4.0,1.0,,23099.883849,1.0,119.0
87215.0,70.0,Male,4.0,7.5,2.0,2.0,,82345.298434,2.0,124.0
87217.0,73.0,Male,5.0,9.5,3.0,2.0,,94311.054375,2.0,129.0
87219.0,42.0,Female,1.0795210693868056e-78,7.0,5.397605346934028e-79,5.397605346934028e-79,,22478.805027,2.0,123.0
87221.0,63.0,Male,9.0,6.5,1.0,8.0,,11947.268082,1.0,124.0
87223.0,55.0,Female,3.0,7.5,2.0,1.0,,23351.456107,2.0,132.0
